"","X","runnum","n","spreadern","ntype","ptrustavg","passlimit","accpthres","itrustavg","stepsn","fininitval","X","agents.n","links.n","spreaders.avglinks","ambiv.n","ambiv.avglinks","ambiv.cluster.coeff","ambiv.betweenness","ambiv.eigencent","ambiv.pgrank","ambiv.closeness","rej.n","rej.avglinks","rej.coeff","rej.betweenness","rej.eigencent","rej.pgrank","rej.closeness","aa.n","aa.avglinks","aa.coeff","aa.betweenness","aa.eigencent","aa.pgrank","aa.closeness","as.n","as.avglinks","as.coeff","as.betweenness","as.eigencent","as.pgrank","as.closeness","believers.n","misinfo.avgexpose.n"
"46",46,46,125,1,"""scale-free""",25,1,25,50,500,"count turtles",46,125,124,1,36,1.75,0,193.5,0.0677676649749575,0.00719682866601765,0.169982504975764,7,1.14285714285714,0,17.5714285714286,0.0395962139637359,0.00518769528201698,0.162916427897859,6,1.5,0,177.166666666667,0.0471600524606412,0.00606503622534037,0.183339617165144,76,2.21052631578947,0,385.394736842105,0.0918698718115631,0.00879223794338425,0.182202654412738,65,0.992
"47",47,47,125,1,"""scale-free""",25,1,25,50,500,"count turtles",47,125,124,4,32,2.15625,0,338.09375,0.0754653086078091,0.00854048092922236,0.176491484312014,8,1.25,0,74.875,0.0784407503029422,0.00526694181845193,0.181907946814862,5,1.6,0,98,0.0636733635125947,0.00681127165508888,0.178413466467889,80,2.0125,0,326.825,0.0600774265265902,0.00813140896802281,0.177292992949784,68,0.96
"48",48,48,125,1,"""scale-free""",25,1,25,50,500,"count turtles",48,125,124,2,35,2.22857142857143,0,391.028571428571,0.132273381969339,0.00890882915960193,0.165897793457439,7,1.14285714285714,0,17.5714285714286,0.0371512580232266,0.00523652129175811,0.144820627772791,6,2,0,180.333333333333,0.155353038920022,0.00820456623705739,0.173673982788243,77,1.94805194805195,0,336.74025974026,0.14108711634004,0.00782218094739326,0.165544322789003,66,0.992
"49",49,49,125,1,"""scale-free""",25,1,25,50,500,"count turtles",49,125,124,1,34,1.94117647058824,0,252.176470588235,0.0984029088949132,0.00797123987711635,0.181914283869101,6,3.5,0,1129.66666666667,0.162581326537751,0.0131337737536648,0.182599340970683,4,1,0,0,0.0546677295799705,0.0045206060088195,0.167051009940787,81,1.93827160493827,0,271.753086419753,0.102461876869759,0.00780361453852811,0.17838417516107,29,0.432
"50",50,50,125,1,"""scale-free""",25,1,25,50,500,"count turtles",50,125,124,3,34,1.55882352941176,0,157.852941176471,0.0578602679998254,0.00656583167276435,0.156076409063062,7,1.85714285714286,0,189,0.0781487353513916,0.00753469654675041,0.166300503048259,8,2,0,335.625,0.0997794220872579,0.00783669461199964,0.176397929603802,76,2.18421052631579,0,437.802631578947,0.0850956620685987,0.00870164855793108,0.159981416204375,68,0.912
"51",51,51,125,1,"""scale-free""",25,1,25,50,500,"count turtles",51,125,124,2,33,1.93939393939394,0,243.454545454545,0.0488140756256197,0.00794525325011146,0.153993991551234,7,1.14285714285714,0,233.571428571429,0.0607743896517037,0.00483849301374348,0.159524189318971,9,2,0,843.333333333333,0.106190392891338,0.00789207760249985,0.162324777649925,76,2.07894736842105,0,343.328947368421,0.0550592998390493,0.00832774333194235,0.157962530314571,61,0.88
"52",52,52,125,1,"""scale-free""",25,1,25,50,500,"count turtles",52,125,124,1,34,2.02941176470588,0,174.264705882353,0.0898219289405277,0.00827494485966686,0.229348839173717,6,1.33333333333333,0,41,0.106981288776791,0.00561017668313866,0.245765163142352,5,1.2,0,24.6,0.0262085954076193,0.00537490678494655,0.203290224678455,80,2.0625,0,259.275,0.0955463970066472,0.00822645350934702,0.231503387694285,69,0.984
"53",53,53,125,1,"""scale-free""",25,1,25,50,500,"count turtles",53,125,124,1,35,2.05714285714286,0,208.4,0.0871804955910639,0.00830036614259595,0.18276310500339,4,2.75,0,271,0.100784288552879,0.0109615247908766,0.182113435608777,6,2.16666666666667,0,162,0.101250079803832,0.00888156232140042,0.179881095426591,80,1.9,0,345.875,0.107496114830901,0.0076543963989654,0.176850766459567,64,0.928
"54",54,54,125,1,"""scale-free""",25,1,25,50,500,"count turtles",54,125,124,1,34,1.88235294117647,0,167.529411764706,0.0588378781360255,0.00778206453892881,0.2098490298193,6,1.16666666666667,0,40.6666666666667,0.0877010758874074,0.00492735376567541,0.237045293873579,6,1.33333333333333,0,41,0.0743034936383584,0.00575029546256763,0.220142412706227,79,2.13924050632911,0,286.987341772152,0.0919496522834576,0.00849802418110079,0.224453310350471,73,0.984
"55",55,55,125,1,"""scale-free""",25,1,25,50,500,"count turtles",55,125,124,2,36,2.22222222222222,0,350.944444444444,0.114105431885651,0.00883225048017196,0.178245910510463,6,2.66666666666667,0,804,0.0928592029527282,0.0102556414143269,0.180755339886901,5,2,0,768.2,0.135055089809138,0.00778401722503943,0.199175560714831,78,1.82051282051282,0,216.807692307692,0.0777763018541939,0.0074562185654186,0.170740929619347,17,0.232
"56",56,56,125,1,"""scale-free""",25,1,25,50,500,"count turtles",56,125,124,3,34,1.82352941176471,0,197,0.140897152578075,0.00736277430392217,0.188689490837416,5,1.2,0,48.8,0.0564073196447024,0.00531222583432383,0.160866791106338,7,2,0,388.857142857143,0.102476682776581,0.00797945054653651,0.183977028867169,79,2.10126582278481,0,345.746835443038,0.116118511393512,0.00844618216037052,0.177306270574967,66,0.984
"57",57,57,125,1,"""scale-free""",25,1,25,50,500,"count turtles",57,125,124,1,32,1.65625,0,224.625,0.0525138944743819,0.00691568276796377,0.194842178765946,5,2.2,0,169,0.105022694834837,0.00887942267258859,0.208325100567663,6,2,0,242.333333333333,0.0847272729268872,0.0080822070510751,0.202214344091728,82,2.09756097560976,0,292.060975609756,0.0665471052340386,0.0083635097043386,0.197225634549448,66,0.944
"58",58,58,125,1,"""scale-free""",25,1,25,50,500,"count turtles",58,125,124,1,33,1.87878787878788,0,296.515151515152,0.102124748306903,0.00752308536825366,0.194127882141988,5,1.4,0,49.2,0.126878578955465,0.00593298399921891,0.210918982442995,7,3.28571428571429,0,451,0.1174688050173,0.012681951349682,0.204493965915542,80,1.95,0,261.3,0.0931099549389259,0.007916245042547,0.189496792201451,68,0.984
